state,electric,hybrid,alternativeFuels,combustion,unknown,total
Alabama,13000,69100,495600,4229200,29000,4835900
Alaska,2700,11500,56400,484100,5100,559800
Arizona,89800,201300,507000,5666700,64200,6529000
Arkansas,7100,40200,313900,2336800,10300,2708300
California,1256600,2113900,1544700,31927200,7900,36850300
Colorado,90100,190200,402800,4712200,46500,5441800
Connecticut,31600,93700,144600,2654900,20900,2945700
Delaware,8400,26700,69000,805500,5100,914700
District of Columbia,8100,21800,17300,264300,600,312100
Florida,254900,471800,1272100,16488300,96100,18583200
Georgia,92400,198000,812400,8462700,76900,9642400
Hawaii,25600,43700,40700,966400,3700,1080100
Idaho,8500,48300,179000,1707200,31600,1974600
Illinois,99600,318800,834700,8730500,59600,10043200
Indiana,26100,132000,632900,5322600,58500,6172100
Iowa,9000,63300,373100,2650400,57500,3153300
Kansas,11300,56000,281700,2256000,16100,2621100
Kentucky,11600,72700,398400,3532600,24400,4039700
Louisiana,8200,44200,444400,3258300,19100,3774200
Maine,7400,41200,116500,1063000,7900,1236000
Maryland,72100,200000,341700,4414700,31500,5060000
Massachusetts,73800,231100,306500,4849700,30000,5491100
Michigan,50300,177200,944400,7304100,49400,8525400
Minnesota,37100,140600,569200,4347100,24500,5118500
Mississippi,3600,30200,330200,2350800,8500,2723300
Missouri,26900,127800,646900,4786800,37600,5626000
Montana,4600,23600,132400,850300,10800,1021700
Nebraska,6900,36400,226100,1676500,25300,1971200
Nevada,47400,80200,153100,2255100,20300,2556100
New Hampshire,9900,43400,103600,1214500,12300,1383700
New Jersey,134800,215100,420200,6517600,36400,7324100
New Mexico,10300,49200,183900,1686100,22900,1952400
New York,131300,406300,645900,10056000,79100,11318600
North Carolina,70200,234300,735600,7973700,71700,9085500
North Dakota,1000,9000,110300,669900,7200,797400
Ohio,50400,223800,904600,9077600,60900,10317300
Oklahoma,22800,89400,417500,3713200,45000,4287900
Oregon,64400,185700,240300,3291300,51000,3832700
Pennsylvania,70200,284300,736200,9078500,41800,10211000
Rhode Island,6400,27200,45000,793000,6000,877600
South Carolina,20900,92100,449400,4435100,44900,5042400
South Dakota,1700,13200,120300,769500,13300,918000
Tennessee,33200,124300,562400,5781200,37700,6538800
Texas,230100,500400,2778700,22165600,121800,25796600
Utah,40000,96200,256400,2657600,26000,3076200
Vermont,7800,26000,43600,510700,5000,593100
Virginia,84900,256200,529400,6822800,30200,7723500
Washington,152100,348400,411700,5857200,46700,6816100
West Virginia,2800,24200,140800,1327900,15200,1510900
Wisconsin,24900,136100,589400,4752200,26400,5529000
Wyoming,1100,9200,78900,550000,13700,652900
United States,3555900,8699500,23091800,250055200,1694100,287096500
